user_id,account_age_days,posts_per_day,logins_per_day,ip_address,location_changes,failed_logins,followers,following,reports,profile_completeness,is_bot_label,ff_ratio,high_login_freq,new_high_activity,extreme_posts,low_ff_ratio,location_hopping,failed_login_flag,community_reported,incomplete_profile,raw_score,risk_score,signals_triggered,risk_tier
U0001,1156,8.0,1.3,202.164.238.114,3,0,5784,131,0,0.46,0,43.8182,0,0,0,0,0,0,0,0,0,0.0,0,Low
U0002,1512,8.7,3.2,114.109.242.204,3,2,1735,1342,1,0.56,0,1.2919,0,0,0,0,0,0,0,0,0,0.0,0,Low
U0003,1467,2.1,1.3,231.86.43.73,0,0,4605,1347,1,0.4,0,3.4162,0,0,0,0,0,0,0,0,0,0.0,0,Low
U0004,886,2.9,3.3,132.171.47.210,1,2,239,967,0,0.77,0,0.2469,0,0,0,0,0,0,0,0,0,0.0,0,Low
U0005,1929,5.1,3.2,244.120.158.58,2,0,3940,656,0,0.67,0,5.997,0,0,0,0,0,0,0,0,0,0.0,0,Low
U0006,18,143.4,29.2,38.12.23.63,11,4,83,1978,8,0.06,1,0.0419,1,1,1,1,1,0,1,1,125,89.3,7,High
U0007,235,3.9,1.3,252.243.37.117,3,1,1071,1423,1,0.73,0,0.7521,0,0,0,0,0,0,0,0,0,0.0,0,Low
U0008,29,6.65,25.1,98.49.183.217,4,12,189,1495,8,0.24,1,0.1263,1,0,0,0,0,1,1,1,65,46.4,4,Medium
U0009,1305,0.5,2.0,148.99.196.127,3,0,8579,888,0,0.75,0,9.6502,0,0,0,0,0,0,0,0,0,0.0,0,Low
U0010,25,56.5,19.9,189.52.44.152,11,17,44,564,9,0.38,1,0.0779,1,1,0,1,1,1,1,1,115,82.1,7,High
U0011,1397,3.9,1.8,168.2.54.200,2,2,5668,602,1,0.84,0,9.3997,0,0,0,0,0,0,0,0,0,0.0,0,Low
U0012,33,98.8,28.4,189.52.44.152,11,9,71,3604,7,0.15,1,0.0197,1,1,0,1,1,1,1,1,115,82.1,7,High
U0013,1781,6.7,3.2,206.237.25.143,1,2,9812,970,0,0.47,0,10.105,0,0,0,0,0,0,0,0,0,0.0,0,Low
U0014,1515,8.5,3.7,64.62.233.35,2,2,9112,804,0,0.83,0,11.3193,0,0,0,0,0,0,0,0,0,0.0,0,Low
U0015,1911,0.3,1.0,206.237.162.244,2,2,7458,573,0,0.71,0,12.993,0,0,0,0,0,0,0,0,0,0.0,0,Low
U0016,30,38.1,21.3,114.218.228.230,17,13,28,1559,7,0.15,1,0.0179,1,1,0,1,1,1,1,1,115,82.1,7,High
U0017,1139,8.8,3.3,41.243.230.67,1,0,2743,805,1,0.53,0,3.4032,0,0,0,0,0,0,0,0,0,0.0,0,Low
U0018,1393,8.9,2.9,193.126.141.197,1,2,5642,1264,1,0.47,0,4.4601,0,0,0,0,0,0,0,0,0,0.0,0,Low
U0019,1430,6.5,0.5,200.248.122.71,0,0,9524,1392,1,0.71,0,6.837,0,0,0,0,0,0,0,0,0,0.0,0,Low
U0020,678,4.8,3.6,113.39.146.61,1,2,8044,1407,1,0.71,0,5.7131,0,0,0,0,0,0,0,0,0,0.0,0,Low
U0021,41,72.5,9.4,51.214.112.115,14,9,129,2136,1,0.38,1,0.0604,0,1,0,1,1,1,0,1,75,53.6,5,Medium
U0022,2,85.3,9.1,21.70.77.60,7,3,128,3974,2,0.23,1,0.0322,0,1,0,1,1,0,0,1,60,42.9,4,Medium
U0023,759,9.9,1.6,99.78.109.17,3,2,252,1217,0,0.55,0,0.2069,0,0,0,0,0,0,0,0,0,0.0,0,Low
U0024,38,67.8,21.9,51.214.112.115,8,2,143,1108,9,0.16,1,0.1289,1,1,0,0,1,0,1,1,85,60.7,5,High
U0025,1379,7.0,4.4,139.238.212.16,3,2,6596,1379,0,0.89,0,4.7797,0,0,0,0,0,0,0,0,0,0.0,0,Low
U0026,1201,6.5,1.3,53.215.199.232,0,2,2435,881,0,0.81,0,2.7608,0,0,0,0,0,0,0,0,0,0.0,0,Low
U0027,502,2.1,2.9,198.10.194.123,1,2,312,1797,1,0.89,0,0.1735,0,0,0,0,0,0,0,0,0,0.0,0,Low
U0028,1046,5.2,1.7,2.180.152.193,0,1,4598,1070,1,0.78,0,4.2932,0,0,0,0,0,0,0,0,0,0.0,0,Low
U0029,38,2.8,3.7,100.214.112.125,3,2,4549,161,1,0.87,0,28.0802,0,0,0,0,0,0,0,0,0,0.0,0,Low
U0030,24,130.6,28.6,151.142.3.195,6,8,103,4423,3,0.17,1,0.0233,1,1,1,1,1,1,1,1,140,100.0,8,High
U0031,1526,6.6,0.5,125.14.199.87,3,1,4483,1739,1,0.67,0,2.5764,0,0,0,0,0,0,0,0,0,0.0,0,Low
U0032,986,2.2,3.7,172.207.84.216,0,1,9542,825,1,0.62,0,11.5521,0,0,0,0,0,0,0,0,0,0.0,0,Low
U0033,8,130.4,22.5,189.52.44.152,3,18,186,3946,6,0.13,1,0.0471,1,1,1,1,0,1,1,1,125,89.3,7,High
U0034,67,9.8,2.7,252.13.201.152,3,2,275,1310,1,0.79,0,0.2098,0,0,0,0,0,0,0,0,0,0.0,0,Low
U0035,33,45.4,23.9,7.42.219.35,6,5,191,3620,1,0.38,1,0.0527,1,1,0,1,1,0,0,1,80,57.1,5,High
U0036,187,9.5,4.6,222.236.93.13,2,0,1110,289,0,0.66,0,3.8276,0,0,0,0,0,0,0,0,0,0.0,0,Low
U0037,210,5.7,4.9,67.194.167.55,3,2,1030,937,0,0.56,0,1.0981,0,0,0,0,0,0,0,0,0,0.0,0,Low
U0038,1376,1.7,3.0,117.167.172.195,2,1,619,1356,1,0.44,0,0.4562,0,0,0,0,0,0,0,0,0,0.0,0,Low
U0039,655,6.2,5.0,226.194.142.193,1,2,204,499,1,0.59,0,0.408,0,0,0,0,0,0,0,0,0,0.0,0,Low
U0040,1157,7.0,3.7,244.215.129.214,3,2,5646,1715,0,0.65,0,3.2902,0,0,0,0,0,0,0,0,0,0.0,0,Low
U0041,1871,8.7,4.6,21.240.9.192,1,2,8042,45,0,0.52,0,174.8261,0,0,0,0,0,0,0,0,0,0.0,0,Low
U0042,1829,7.0,4.1,139.26.179.58,3,2,6664,1176,1,0.75,0,5.6619,0,0,0,0,0,0,0,0,0,0.0,0,Low
U0043,1853,5.8,0.7,167.35.20.194,0,1,624,1223,0,0.9,0,0.5098,0,0,0,0,0,0,0,0,0,0.0,0,Low
U0044,599,0.3,0.7,8.126.102.215,1,2,2541,622,0,0.9,0,4.0787,0,0,0,0,0,0,0,0,0,0.0,0,Low
U0045,1625,2.2,3.3,6.78.122.33,3,2,926,1001,1,0.65,0,0.9242,0,0,0,0,0,0,0,0,0,0.0,0,Low
U0046,896,6.4,3.8,122.58.111.120,0,1,685,1139,1,0.42,0,0.6009,0,0,0,0,0,0,0,0,0,0.0,0,Low
U0047,149,2.7,2.5,180.131.188.43,2,1,8982,1507,0,0.45,0,5.9562,0,0,0,0,0,0,0,0,0,0.0,0,Low
U0048,1180,7.0,2.3,156.58.83.247,1,1,562,1784,1,0.54,0,0.3148,0,0,0,0,0,0,0,0,0,0.0,0,Low
U0049,25,105.8,14.2,196.172.52.24,18,9,191,1970,5,0.25,1,0.0969,1,1,1,1,1,1,1,1,140,100.0,8,High
U0050,276,0.5,3.0,7.159.192.102,2,0,7303,706,0,0.47,0,10.3296,0,0,0,0,0,0,0,0,0,0.0,0,Low
U0051,1122,0.9,1.9,242.101.38.152,1,0,6667,441,0,0.68,0,15.0837,0,0,0,0,0,0,0,0,0,0.0,0,Low
U0052,33,80.4,22.3,161.124.52.179,12,7,99,3349,4,0.17,1,0.0296,1,1,0,1,1,1,1,1,115,82.1,7,High
